plot	flightlineID	name
OSBS001	5	 NIS1_20140507_152342_atmcor.h5
OSBS001	6	 NIS1_20140507_153137_atmcor.h5
OSBS002	19	 NIS1_20140507_171750_atmcor.h5
OSBS002	20	 NIS1_20140519_140311_atmcor.h5
OSBS003	21	 NIS1_20140519_141032_atmcor.h5
OSBS003	22	 NIS1_20140519_141844_atmcor.h5
OSBS004	18	 NIS1_20140507_171024_atmcor.h5
OSBS004	19	 NIS1_20140507_171750_atmcor.h5
OSBS004	20	 NIS1_20140519_140311_atmcor.h5
OSBS005	9	 NIS1_20140507_155608_atmcor.h5
OSBS005	10	 NIS1_20140507_160328_atmcor.h5
OSBS006	0	 NIS1_20140507_143910_atmcor.h5
OSBS006	14	 NIS1_20140507_163625_atmcor.h5
OSBS007	18	 NIS1_20140507_171024_atmcor.h5
OSBS007	19	 NIS1_20140507_171750_atmcor.h5
OSBS008	4	 NIS1_20140507_151500_atmcor.h5
OSBS008	5	 NIS1_20140507_152342_atmcor.h5
OSBS009	7	 NIS1_20140507_154018_atmcor.h5
OSBS009	8	 NIS1_20140507_154756_atmcor.h5
OSBS010	23	 NIS1_20140519_142546_atmcor.h5
OSBS010	24	 NIS1_20140519_143300_atmcor.h5
OSBS011	0	 NIS1_20140507_143910_atmcor.h5
OSBS011	1	 NIS1_20140507_144927_atmcor.h5
OSBS013	18	 NIS1_20140507_171024_atmcor.h5
OSBS013	19	 NIS1_20140507_171750_atmcor.h5
OSBS015	16	 NIS1_20140507_165357_atmcor.h5
OSBS015	17	 NIS1_20140507_170158_atmcor.h5
OSBS015	18	 NIS1_20140507_171024_atmcor.h5
OSBS016	17	 NIS1_20140507_170158_atmcor.h5
OSBS016	18	 NIS1_20140507_171024_atmcor.h5
OSBS025	2	 NIS1_20140507_145824_atmcor.h5
OSBS025	3	 NIS1_20140507_150703_atmcor.h5
OSBS026	1	 NIS1_20140507_144927_atmcor.h5
OSBS026	2	 NIS1_20140507_145824_atmcor.h5
OSBS027	1	 NIS1_20140507_144927_atmcor.h5
OSBS027	2	 NIS1_20140507_145824_atmcor.h5
OSBS028	2	 NIS1_20140507_145824_atmcor.h5
OSBS028	3	 NIS1_20140507_150703_atmcor.h5
OSBS048	21	 NIS1_20140519_141032_atmcor.h5
OSBS048	22	 NIS1_20140519_141844_atmcor.h5
