country,stateProvince,county,domainName,domainID,siteName,siteID,plotType,subtype,subtypeSpecification,plotID,Plot_ID,plotSize,plotDimensions,referencePointPosition,decimalLatitude,decimalLongitude,geodeticDatum,utmZone,easting,northing,coordinateUncertainty,elevation,elevationUncertainty,minimumElevation,maximumElevation,slopeGradient,slopeAspect,nlcdClass,,inclusionProbability,coordinateSource,recordedDate,filteredPositions,plotPdop,plotHdop,applicableModules
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,distributed,basePlot,,OSBS_001,OSBS001,1600,40m x 40m,41,29.702914,-82.008881,WGS84,17N,402404.659,3286292.352,0.14,31,0.23,27.49,34.04,-0.29,5,woodyWetlands,,,GeoXH 6000,20130103,314,8.1,4,bet|bgc|cdw|dhp|div|hbp|sme|vst
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,distributed,birdGrid,ninePoints,OSBS_001,OSBS001,250000,500m x 500m,B2,29.702706,-82.00745,WGS84,17N,402542.846,3286268.041,0.32,30.59,0.27,30.59,43.11,1,162,woodyWetlands,,,GeoXH 6000,20130110,131,4.7,2.4,brd
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,distributed,tickPlot,,OSBS_001,OSBS001,1600,40m x 40m,41,29.704063,-82.008061,WGS84,17N,402485.084,3286418.93,0.25,34.42,0.34,33.32,38.09,4,152,woodyWetlands,,,GeoXH 6000,20130123,122,2.9,1.3,tck
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,distributed,basePlot,,OSBS_002,OSBS002,1600,40m x 40m,41,29.70386,-81.956817,WGS84,17N,407442.288,3286354.411,0.18,31.51,0.17,31.23,34.69,-0.57,310,evergreenForest,,,GeoXH 6000,20130124,129,3.8,2.7,bet|bgc|cdw|dhp|div|hbp|sme|vst
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,distributed,birdGrid,ninePoints,OSBS_002,OSBS002,250000,500m x 500m,B2,29.703592,-81.956766,WGS84,17N,407446.949,3286324.647,0.36,31.6,0.58,31.6,32,2,108,evergreenForest,,,GeoXH 6000,20130104,142,4,2.2,brd
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,distributed,mammalGrid,diversity,OSBS_002,OSBS002,8100,90m x 90m,E5,29.705096,-81.956249,WGS84,17N,407498.318,3286490.901,0.4,31.36,0.91,31.36,32,1,270,evergreenForest,,,GeoXH 6000,20130116,121,4.1,2,mam
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,distributed,tickPlot,,OSBS_002,OSBS002,1600,40m x 40m,41,29.703661,-81.958365,WGS84,17N,407292.301,3286333.576,0.14,35.77,0.24,34.53,38.89,1,153,evergreenForest,,,GeoXH 6000,20130124,124,3.7,1.5,tck
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,distributed,basePlot,,OSBS_003,OSBS003,1600,40m x 40m,41,29.694992,-81.94742,WGS84,17N,408343.238,3285364.187,0.12,31.94,0.2,29.66,34.22,2.69,103,evergreenForest,,,GeoXH 6000,20130124,126,4,2,bet|bgc|cdw|dhp|div|hbp|sme|vst
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,distributed,birdGrid,ninePoints,OSBS_003,OSBS003,250000,500m x 500m,B2,29.694201,-81.945199,WGS84,17N,408557.411,3285274.775,0.78,29.14,1.65,29.14,32.68,2,135,evergreenForest,,,GeoXH 6000,20130104,124,5.6,1.6,brd
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,distributed,mammalGrid,diversity,OSBS_003,OSBS003,8100,90m x 90m,E5,29.695764,-81.946187,WGS84,17N,408463.217,3285448.785,0.21,34.27,0.55,32,34.27,2,8,evergreenForest,,,GeoXH 6000,20130116,121,2.7,1.5,mam
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,distributed,tickPlot,,OSBS_003,OSBS003,1600,40m x 40m,41,29.693693,-81.94701,WGS84,17N,408381.769,3285219.98,0.26,38.17,0.45,34.84,38.25,2,119,evergreenForest,,,GeoXH 6000,20130129,133,3.6,1.8,tck
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,distributed,basePlot,,OSBS_004,OSBS004,1600,40m x 40m,41,29.684073,-81.959108,WGS84,17N,407202.405,3284163.583,0.23,36.84,0.6,36.84,39.04,-2.86,26,evergreenForest,,,GeoXH 6000,20130119,128,5.2,1.7,bet|cdw|dhp|div|hbp|vst
