unique_id,site_id,plot_id,bout_id,individual_id,aMeasuredBy,bMeasuredBy,tag_id,taxon_id,genus,species,evergreen vs deciduous,common_name,canopy_ht1,canopy_ht2,canopy_ht3,canopy_ht4,canopy_ht5,avg_canopy_ht,num_shots_or_samples,remarks,heightMaxVD1,heightMaxVD2,heightMinVD1,heightMinVD2,point_id,stem_azimuth,stem_distance,height1VD1,height1VD2,height2VD1,height2VD2,heightrange1,heightrange2,aop_plot,initials,punch_diameter,punch_scan_count,mass_count,total_sample_mass,mass_per_punch_leaf,total_sample_area,avg_punch_leaf_area,mass_per_area,plant_type,wyo_sample_id,fifteen_n,thirteen_c,total_n,total_c,notes
D314_F206,JERC,JERC_005,JERC00,F206,D03_BC15,D03_BC14,,QUFA,Pinus,palustris,coniferous,longleaf pine,,,,,,,,,2,0,0.7,0,41,24.9,9.8,,,,,2,1,OSBS_013,BC15; BC14,,15,15,0.42,0.028,21.7565,1.4504,0.0193,,,,,,,
D314_F137,OSBS,OSBS_001,OSBS00,F137,D03_BC15,D03_BC14,,QUNI,Quercus,nigra,deciduous,water oak,,,,,,,,,9.2,-1.6,6.9,-1.6,41,285.8,6.6,7,-1.5,7.3,-1.5,,,OSBS_001,BC15; BC14,1.905,17,17,0.3725,0.0219,48.45390269,2.8502,0.0077,,20140170.11,-2.7384494,-30.8827388,1.761907,49.266687,REPLICATED; values here for first run only
D314_F138,OSBS,OSBS_001,OSBS00,F138,D03_BC15,D03_BC14,,QUNI,Quercus,nigra,deciduous,water oak,,,,,,,,,8.6,-1.6,5.8,-1.5,41,336.1,7.1,7.1,-1.5,6,-1.5,,,OSBS_001,BC15; BC14,1.905,21,21,0.409,0.0195,59.85482097,2.8502,0.0068,,20140170.11,-2.8694756,-30.0836311,1.9403582,49.111698,
D314_F037,OSBS,OSBS_002,OSBS00,F037,D03_BC15,D03_BC14,,PIPA2,Pinus,palustris,coniferous,longleaf pine,,,,,,,,,14.2,-1.4,8.8,-1.4,41,52,7.8,8.9,-1.5,9.2,-1.5,,,OSBS_002,BC15; BC14,,19,19,1.1232,0.0591,45.59833,2.3999,0.0246,,20140170.08,-3.5780112,-29.169072,0.6151202,49.198587,
D314_F038,OSBS,OSBS_002,OSBS00,F038,D03_BC15,D03_BC14,,PIPA2,Pinus,palustris,coniferous,longleaf pine,,,,,,,,,14.8,-1.6,6.8,-1.6,41,36.1,12.5,8.6,-1.5,7.6,-1.5,,,OSBS_002,BC15; BC14,,20,20,1.0742,0.0537,42.87748,2.1439,0.0251,,,,,,,
D314_F039,OSBS,OSBS_002,OSBS00,F039,D03_BC15,D03_BC14,,PIPA2,Pinus,palustris,coniferous,longleaf pine,,,,,,,,,11.3,-1.5,6.7,-1.5,41,136.5,12.1,7.2,-1.5,7.1,-1.6,,,OSBS_002,BC15; BC14,,18,18,0.7896,0.0439,38.35217,2.1307,0.0206,,20140170.08,-2.6324282,-28.7700428,0.848584,50.4676588,
D314_F040,OSBS,OSBS_002,OSBS00,F040,D03_BC15,D03_BC14,,PIPA2,Pinus,palustris,coniferous,longleaf pine,,,,,,,,,11.9,-1.6,6.7,-1.6,41,201.9,9.7,7.8,-1.5,8.2,-1.6,,,OSBS_002,BC15; BC14,,17,17,0.7263,0.0427,33.52632,1.9721,0.0217,,,,,,,
D314_F041,OSBS,OSBS_002,OSBS00,F041,D03_BC15,D03_BC14,,PIPA2,Pinus,palustris,coniferous,longleaf pine,,,,,,,,,13.3,-1.7,6.4,-1.7,41,224.5,9.8,7.9,-1.4,8.7,-1.4,,,OSBS_002,BC15; BC14,,18,18,0.9367,0.052,39.49249,2.194,0.0237,,,,,,,
D314_F042,OSBS,OSBS_003,OSBS00,F042,D03_BC15,D03_BC14,,QULA3,Quercus,laurifolia,deciduous,laurel oak,,,,,,,,,2.3,-1.6,0.1,-1.6,41,18.1,5.1,2.1,-1.6,1.5,-1.6,,,OSBS_003,BC15; BC14,1.27,18,18,0.2111,0.0117,22.80183656,1.2668,0.0093,,,,,,,
D314_F043,OSBS,OSBS_003,OSBS00,F043,D03_BC15,D03_BC14,,QULA3,Quercus,laurifolia,deciduous,laurel oak,,,,,,,,,5.3,-2,-0.1,-2,41,216.9,5.7,4.3,-1.8,3.8,-1.9,,,OSBS_003,BC15; BC14,1.27,24,24,0.3237,0.0135,30.40244875,1.2668,0.0106,,,,,,,
