country,stateProvince,county,domainName,domainID,siteName,siteID,plotType,subtype,subtypeSpecification,plotID,plotSize,plotDimensions,referencePointPosition,decimalLatitude,decimalLongitude,geodeticDatum,utmZone,easting,northing,coordinateUncertainty,elevation,elevationUncertainty,minimumElevation,maximumElevation,slopeGradient,slopeAspect,nlcdClass,soilTypeOrder,inclusionProbability,coordinateSource,recordedDate,filteredPositions,plotPdop,plotHdop,applicableModules
unitedStates,NH,Carroll,Northeast,D01,Bartlett Experimental Forest,BART,distributed,birdGrid,ninePoints,BART_003,250000,500m x 500m,B2,44.054939,-71.263123,WGS84,19N,318722.024,4880464.938,0.32,438.46,0.36,317.31,438.46,11.38,238.47,deciduousForest,,,GeoXH 6000,20131014,122,2.6,1.4,brd
unitedStates,NH,Carroll,Northeast,D01,Bartlett Experimental Forest,BART,distributed,birdGrid,ninePoints,BART_004,250000,500m x 500m,B2,44.04122,-71.287007,WGS84,19N,316766.575,4878994.04,0.22,526.26,0.5,426.56,545.96,11.04,309.64,mixedForest,,,GeoXH 6000,20141008,800,8.7,3,brd
unitedStates,NH,Carroll,Northeast,D01,Bartlett Experimental Forest,BART,distributed,birdGrid,ninePoints,BART_009,250000,500m x 500m,B2,44.054091,-71.299906,WGS84,19N,315772.997,4880452.321,0.27,359.66,0.34,359.66,484.79,18.77,62.89,deciduousForest,,,GeoXH 6000,20141001,1040,5,2.6,brd
unitedStates,NH,Carroll,Northeast,D01,Bartlett Experimental Forest,BART,distributed,birdGrid,ninePoints,BART_012,250000,500m x 500m,B2,44.047818,-71.315729,WGS84,19N,314485.917,4879791.145,0.43,587.49,0.42,587.49,655.39,14.49,138.79,deciduousForest,,,GeoXH 6000,20141008,742,7.9,5.3,brd
unitedStates,NH,Carroll,Northeast,D01,Bartlett Experimental Forest,BART,distributed,birdGrid,ninePoints,BART_015,250000,500m x 500m,B2,44.042644,-71.273028,WGS84,19N,317890.948,4879121.169,0.17,437.19,0.22,403.3,489.27,12.37,242.72,mixedForest,,,GeoXH 6000,20140929,667,5.5,2.7,brd
unitedStates,NH,Carroll,Northeast,D01,Bartlett Experimental Forest,BART,distributed,birdGrid,ninePoints,BART_016,250000,500m x 500m,B2,44.049256,-71.285512,WGS84,19N,316911.089,4879883.269,0.13,325.44,0.18,319.47,374.22,7.44,45.42,mixedForest,,,GeoXH 6000,20140924,606,3.8,2.4,brd
unitedStates,NH,Carroll,Northeast,D01,Bartlett Experimental Forest,BART,distributed,birdGrid,ninePoints,BART_018,250000,500m x 500m,B2,44.059971,-71.277901,WGS84,19N,317553.751,4881056.445,0.12,297.21,0.22,254.85,297.21,7.66,14.92,mixedForest,,,GeoXH 6000,20141002,1001,5.5,2,brd
unitedStates,NH,Carroll,Northeast,D01,Bartlett Experimental Forest,BART,distributed,birdGrid,ninePoints,BART_082,250000,500m x 500m,B2,44.056702,-71.287159,WGS84,19N,316802.13,4880713.958,0.48,292.7,0.79,271.63,324.39,4.5,252.59,evergreenForest,,,GeoXH 6000,20140918,1007,8.9,6.1,brd
unitedStates,NH,Carroll,Northeast,D01,Bartlett Experimental Forest,BART,distributed,birdGrid,ninePoints,BART_083,250000,500m x 500m,B2,44.040774,-71.308539,WGS84,19N,315039.95,4878992.609,0.11,714.5,0.12,552.84,714.5,24.31,36.63,evergreenForest,,,GeoXH 6000,20140917,1004,3.3,2.4,brd
unitedStates,NH,Carroll,Northeast,D01,Bartlett Experimental Forest,BART,distributed,birdGrid,ninePoints,BART_025,250000,500m x 500m,B2,44.060146,-71.315479,WGS84,19N,314544.455,4881159.906,0.25,575.84,0.32,481.59,633.25,22.57,32.68,evergreenForest,,,GeoXH 6000,20140918,1012,5.6,2.2,brd
