plot,flightlineID,name
JERC001,13,NIS1_20140521_165122_atmcor.h5
JERC002,9,NIS1_20140521_162124_atmcor.h5
JERC003,12,NIS1_20140521_164334_atmcor.h5
JERC005,7,NIS1_20140521_160610_atmcor.h5
JERC006,8,NIS1_20140521_161349_atmcor.h5
JERC007,13,NIS1_20140521_165122_atmcor.h5
JERC008,7,NIS1_20140521_160610_atmcor.h5
JERC009,8,NIS1_20140521_161349_atmcor.h5
JERC010,11,NIS1_20140521_163620_atmcor.h5
JERC011,11,NIS1_20140521_163620_atmcor.h5
JERC016,11,NIS1_20140521_163620_atmcor.h5
JERC019,11,NIS1_20140521_163620_atmcor.h5
JERC030,13,NIS1_20140521_165122_atmcor.h5
JERC047,11,NIS1_20140521_163620_atmcor.h5
JERC048,9,NIS1_20140521_162124_atmcor.h5
JERC049,10,NIS1_20140521_162901_atmcor.h5
JERC050,11,NIS1_20140521_163620_atmcor.h5
