,fline,fnames
0,"[UTM,1,1,404172.00,3289909.0,1.0000000000e+000,1.0000000000e+000,17,North,WGS-84,units=Meters]",NIS1_20140507_143910_atmcor.h5
1,"[UTM,1,1,403715.00,3290889.0,1.0000000000e+000,1.0000000000e+000,17,North,WGS-84,units=Meters]",NIS1_20140507_144927_atmcor.h5
2,"[UTM,1,1,403324.00,3289934.0,1.0000000000e+000,1.0000000000e+000,17,North,WGS-84,units=Meters]",NIS1_20140507_145824_atmcor.h5
3,"[UTM,1,1,402916.00,3290803.0,1.0000000000e+000,1.0000000000e+000,17,North,WGS-84,units=Meters]",NIS1_20140507_150703_atmcor.h5
4,"[UTM,1,1,402449.00,3289879.0,1.0000000000e+000,1.0000000000e+000,17,North,WGS-84,units=Meters]",NIS1_20140507_151500_atmcor.h5
5,"[UTM,1,1,402073.00,3290693.0,1.0000000000e+000,1.0000000000e+000,17,North,WGS-84,units=Meters]",NIS1_20140507_152342_atmcor.h5
6,"[UTM,1,1,401560.00,3289939.0,1.0000000000e+000,1.0000000000e+000,17,North,WGS-84,units=Meters]",NIS1_20140507_153137_atmcor.h5
7,"[UTM,1,1,401226.00,3290834.0,1.0000000000e+000,1.0000000000e+000,17,North,WGS-84,units=Meters]",NIS1_20140507_154018_atmcor.h5
8,"[UTM,1,1,400790.00,3289969.0,1.0000000000e+000,1.0000000000e+000,17,North,WGS-84,units=Meters]",NIS1_20140507_154756_atmcor.h5
9,"[UTM,1,1,400374.00,3290793.0,1.0000000000e+000,1.0000000000e+000,17,North,WGS-84,units=Meters]",NIS1_20140507_155608_atmcor.h5
10,"[UTM,1,1,399930.00,3289934.0,1.0000000000e+000,1.0000000000e+000,17,North,WGS-84,units=Meters]",NIS1_20140507_160328_atmcor.h5
11,"[UTM,1,1,399498.00,3290840.0,1.0000000000e+000,1.0000000000e+000,17,North,WGS-84,units=Meters]",NIS1_20140507_161139_atmcor.h5
12,"[UTM,1,1,399047.00,3289881.0,1.0000000000e+000,1.0000000000e+000,17,North,WGS-84,units=Meters]",NIS1_20140507_161934_atmcor.h5
13,"[UTM,1,1,398659.00,3290875.0,1.0000000000e+000,1.0000000000e+000,17,North,WGS-84,units=Meters]",NIS1_20140507_162813_atmcor.h5
14,"[UTM,1,1,404555.00,3292459.0,1.0000000000e+000,1.0000000000e+000,17,North,WGS-84,units=Meters]",NIS1_20140507_163625_atmcor.h5
15,"[UTM,1,1,404963.00,3293349.0,1.0000000000e+000,1.0000000000e+000,17,North,WGS-84,units=Meters]",NIS1_20140507_164452_atmcor.h5
16,"[UTM,1,1,405385.00,3292384.0,1.0000000000e+000,1.0000000000e+000,17,North,WGS-84,units=Meters]",NIS1_20140507_165357_atmcor.h5
