unique_id,site_id,plot_id,bout_id,individual_id,aMeasuredBy,bMeasuredBy,tag_id,taxonid,genus,species,evergreen vs deciduous,common_name,canopy_ht1,canopy_ht2,canopy_ht3,canopy_ht4,canopy_ht5,avg_canopy_ht,num_shots_or_samples,remarks,heightMaxVD1,heightMaxVD2,heightMinVD1,heightMinVD2,point_id,stem_azimuth,stem_distance,height1VD1,height1VD2,stemheight,height2VD1,height2VD2,heightrange1,heightrange2,aop_plot,initials,punch_diameter,punch_scan_count,mass_count,total_sample_mass,mass_per_punch_leaf,total_sample_area,avg_punch_leaf_area,mass_per_area,plant_type,wyo_sample_id,fifteen_n,thirteen_c,total_n,total_c,notes
D314_F145,JERC,JERC001,JERC00,F145,D03_BC15,D03_BC14,,QUFA,Rhus,copallinum,deciduous,winged sumac,,,,,,,,,18.3,-1.7,8.1,-1.6,41,170.5,9.3,8.3,-1.6,9.9,9.5,-1.6,,,JERC_001,BC15; BC14,1.27,28,28,0.3274,0.0117,35.46952354,1.2668,0.0092,,,,,,,
D314_F146,JERC,JERC001,JERC00,F146,D03_BC15,D03_BC14,,RHCO,Rhus,copallinum,deciduous,winged sumac,,,,,,,,>1 individual,1,0,0.6,0,41,266.1,5.3,,,,,,1,0.7,JERC_001,BC15; BC14,1.27,40,40,0.4119,0.0103,50.67074791,1.2668,0.0081,,20140170,-3.261384,-32.221625,1.6822518,50.0046962,
D314_F147,JERC,JERC001,JERC00,F147,D03_BC15,D03_BC14,,RHCO,Rhus,copallinum,deciduous,winged sumac,,,,,,,,>1 individual,1.4,0,0.6,0,41,240.8,7.5,,,,,,1.4,0.8,JERC_001,BC15; BC14,1.27,20,20,0.2123,0.0106,25.33537395,1.2668,0.0084,,,,,,,
D314_F148,JERC,JERC001,JERC00,F148,D03_BC15,D03_BC14,,RHCO,Sassafras,albidum,deciduous,sassafras,,,,,,,,>1 individual,1,0,0.4,0,41,119.2,2.9,,,,,,1,0.6,JERC_001,BC15; BC14,1.905,19,19,0.364,0.0192,54.15436183,2.8502,0.0067,,,,,,,
D314_F149,JERC,JERC001,JERC00,F149,D03_BC15,D03_BC14,,SAAL5,Sassafras,albidum,deciduous,sassafras,,,,,,,,>1 individual,1.5,0,1,0,41,84.8,2.4,,,,,,1.5,1,JERC_001,BC15; BC14,1.905,20,20,0.3897,0.0195,57.0045914,2.8502,0.0068,,20140170,-2.0472923,-30.841395,1.9373466,48.8886825,
D314_F150,JERC,JERC001,JERC00,F150,D03_BC15,D03_BC14,,SAAL5,Sassafras,albidum,deciduous,sassafras,,,,,,,,,2.5,0,1.1,0,41,111.7,9.7,,,,,,2.2,1.6,JERC_001,BC15; BC14,1.905,20,20,0.3506,0.0175,57.0045914,2.8502,0.0062,,,,,,,
D314_F151,JERC,JERC001,JERC00,F151,D03_BC15,D03_BC14,,SAAL5,Diospyros,virginiana,deciduous,common persimmon,,,,,,,,>1 individual,2.2,0,1.2,0,41,121.1,10.3,,,,,,2.1,1.3,JERC_001,BC15; BC14,1.905,7,7,0.4963,0.0709,19.95160699,2.8502,0.0249,,,,,,,
D314_F152,JERC,JERC001,JERC00,F152,D03_BC15,D03_BC14,,DIVI5,Diospyros,virginiana,deciduous,common persimmon,,,,,,,,,1.9,0,0.6,0,41,247.4,9.4,,,,,,1.2,0.7,JERC_001,BC15; BC14,1.905,18,18,0.3314,0.0184,51.30413226,2.8502,0.0065,,20140170,0.5200162,-29.871715,1.7170342,47.1379911,
D314_F153,JERC,JERC001,JERC00,F153,D03_BC15,D03_BC14,,DIVI5,Diospyros,virginiana,deciduous,common persimmon,,,,,,,,,0.9,0,0.4,0,41,98.5,6.7,,,,,,0.9,0.6,JERC_001,BC15; BC14,1.905,5,5,0.2539,0.0508,14.25114785,2.8502,0.0178,,,,,,,
D314_F154,JERC,JERC001,JERC00,F154,D03_BC15,D03_BC14,,DIVI5,Quercus,virginiana,deciduous,live oak,,,,,,,,>1 individual,0.9,0,0.3,0,41,96.9,9.5,,,,,,0.8,0.4,JERC_003,BC15; BC14,1.905,16,16,0.7176,0.0449,45.60367312,2.8502,0.0157,,,,,,,
D314_F175,JERC,JERC002,JERC00,F175,D03_BC15,D03_BC14,,SAAL5,Sassafras,albidum,deciduous,sassafras,,,,,,,,under partial canopy,1.1,0,0.5,0,41,113.7,7.2,,,,,,1,0.5,JERC_002,BC15; BC14,1.905,7,7,0.3653,0.0522,19.95160699,2.8502,0.0183,,20140170.01,-2.5747666,-31.619485,1.4952952,48.4205551,
D314_F176,JERC,JERC002,JERC00,F176,D03_BC15,D03_BC14,,SAAL5,Sassafras,albidum,deciduous,sassafras,,,,,,,,under partial canopy,1.6,0,0.7,0,41,51.2,2.6,,,,,,1.6,1,JERC_002,BC15; BC14,1.905,17,17,0.2781,0.0164,48.45390269,2.8502,0.0057,,,,,,,
D314_F177,JERC,JERC002,JERC00,F177,D03_BC15,D03_BC14,,SAAL5,Quercus,falcata,deciduous,southern red oak,,,,,,,,under partial canopy,1.6,0,0.8,0,41,215.1,10.2,,,,,,1.6,1,JERC_002,BC15; BC14,1.905,18,18,0.5533,0.0307,51.30413226,2.8502,0.0108,,,,,,,
D314_F178,JERC,JERC002,JERC00,F178,D03_BC15,D03_BC14,,QUFA,Quercus,falcata,deciduous,southern red oak,,,,,,,,under partial canopy,1,0,0.4,0,41,146.5,6.5,,,,,,1,0.5,JERC_002,BC15; BC14,1.905,15,15,0.5075,0.0338,42.75344355,2.8502,0.0119,,,,,,,
D314_F179,JERC,JERC002,JERC00,F179,D03_BC15,D03_BC14,,QUFA,Quercus,falcata,deciduous,southern red oak,,,,,,,,under partial canopy,0.8,0,0.4,0,41,323.5,11.5,,,,,,0.8,0.5,JERC_002,BC15; BC14,1.905,18,18,0.5468,0.0304,51.30413226,2.8502,0.0107,,20140170.01,-4.5405342,-29.6380925,1.2210046,47.9548191,
D314_F180,JERC,JERC002,JERC00,F180,D03_BC15,D03_BC14,,QUFA,Diospyros,virginiana,deciduous,common persimmon,,,,,,,,under partial canopy,0.5,0,0.3,0,41,344.6,5.4,,,,,,0.5,0.4,JERC_002,BC15; BC14,1.905,17,17,0.3657,0.0215,48.45390269,2.8502,0.0075,,,,,,,
D314_F181,JERC,JERC002,JERC00,F181,D03_BC15,D03_BC14,,DIVI5,Diospyros,virginiana,deciduous,common persimmon,,,,,,,,under partial canopy,1.5,0,0.5,0,41,223.2,9.3,,,,,,1.5,0.5,JERC_002,BC15; BC14,1.905,6,6,0.4317,0.072,17.10137742,2.8502,0.0252,,,,,,,
D314_F182,JERC,JERC002,JERC00,F182,D03_BC15,D03_BC14,,DIVI5,Diospyros,virginiana,deciduous,common persimmon,,,,,,,,under partial canopy,0.6,0,0.3,0,41,165.3,11.2,,,,,,0.6,0.3,JERC_002,BC15; BC14,1.905,16,16,0.3438,0.0215,45.60367312,2.8502,0.0075,,,,,,,
D314_F183,JERC,JERC002,JERC00,F183,D03_BC15,D03_BC14,,DIVI5,Quercus,falcata,deciduous,southern red oak,,,,,,,,under partial canopy,1.5,0,0.7,0,41,280.2,10.3,,,,,,1.5,0.7,JERC_006,BC15; BC14,1.905,15,15,0.4242,0.0283,42.75344355,2.8502,0.0099,,,,,,,
