,,taxonID,scientificName,plotID,Easting,Northing,indvidualID,pointID,stem_distance,stem_azimuth,basalDiameter_cm,90degBasalDiameter_cm,diameterBreastHeight_cm,diameterBreastHeight_Height_cm,canopyDiameterMax_m,90degCanopyDiameter_m,canopyHeight_VD1,canopyHeight_VD2,stemRemarks,unknownID,stemStatus,canopyForm,living_percent,canopyInPlot_percent,healthStatus,materialSampleID,qf_DBH,qf_stemMap
1,1,ABCO,Abies concolor,SOAP43,297065,4100725.6,622,center,5.4,67.8,8.2,7.9,67.6,130,0,0,32.9,-1.6,,61,NA,,100,100,,,0,0
2,2,ABCO,Abies concolor,SOAP43,297069.7,4100722.6,632,NE,5.4,188.7,0,0,16.1,130,3.3,3.2,10.7,-2.3,,71,NA,,100,100,,,0,1
3,3,ABCO,Abies concolor,SOAP43,297056.1,4100722.2,567,center,4.1,250.8,0,0,5.9,130,2.9,2.8,2.1,-1.7,,6,NA,,100,100,,,0,0
4,4,ABCO,Abies concolor,SOAP43,297067.2,4100719,606,center,8.5,122.4,0,0,0.9,10,0.4,0.3,0.6,0,,45,NA,,100,100,,,0,0
5,5,ABCO,Abies concolor,SOAP43,297057.4,4100728.7,639,center,5.7,332.6,0,0,4,130,2,1.5,2.2,-1.2,,78,NA,,100,100,,,0,0
6,6,ABCO,Abies concolor,SOAP43,297056.4,4100721.6,566,center,4.1,240.3,0,0,5.1,130,2.4,1.9,3,0,,5,NA,,100,100,,,0,0
7,7,ABCO,Abies concolor,SOAP331,297055.8,4100606.9,527,center,8.3,5.7,0,0,1.1,130,1.3,1.4,1.4,0,,949,NA,,100,100,,,0,0
8,8,ABCO,Abies concolor,SOAP43,297057.1,4100729.9,638,center,6.9,335.5,0,0,3.1,130,2,1.9,3.1,0,,77,NA,,100,100,,,0,0
9,9,ABCO,Abies concolor,SOAP331,297061.1,4100600.3,516,center,6.4,74.5,0,0,1,10,0.5,0.5,0.5,0,,938,NA,,100,100,,,0,0
10,10,ABCO,Abies concolor,SOAP331,297051.7,4100603.6,555,center,6,326.8,0,0,8.9,130,3,2.9,3.6,-1.4,,977,NA,,100,100,,,0,0
11,11,ABCO,Abies concolor,SOAP331,297058.9,4100594.9,484,center,5.4,132.6,0,0,2.5,10,1.1,1.2,1.2,0,,906,NA,,100,100,,,0,0
12,12,AMUT,Amelanchier utahensis,SOAP331,297049.9,4100605.6,551,center,8.6,323.9,60,40,NA,130,1.4,1.7,2,0,21 stems,973,NA,Hemisphere,100,100,,,0,0
13,13,AMUT,Amelanchier utahensis,SOAP331,297044,4100603.9,559,NW,2.8,164.8,1.3,0.9,NA,130,5.4,3.8,1.3,-1.9,,981,NA,Hemisphere,100,100,bush/ sml tree smushed by fallen tree,,0,1
14,14,ARVI4,Arctostaphylos viscida,SOAP139,297058,4100095.4,352,center,8,70.1,27,7,NA,130,1.4,0.8,1.4,0,3 stems,375,NA,,0,100,dead w branches,,0,1
15,15,ARVI4,Arctostaphylos viscida,SOAP1343,299603.9,4100964.4,784,center,9.9,139,40,28,NA,130,2,1.3,1.4,0,4 stems,1075,NA,Hemisphere,0,100,dead w branches,,0,0
17,17,ARVI4,Arctostaphylos viscida,SOAP143,299852.8,4100426.1,1208,center,11.8,50.3,14,12,NA,130,1.1,1,2,0,6 stems,537,NA,Cone,100,100,,,0,1
18,18,ARVI4,Arctostaphylos viscida,SOAP63,299813.7,4101028,891,center,4.9,356.2,22,9,NA,130,1.3,1,1.3,0,2 stems,201,NA,,0,100,long dead,,0,0
19,19,ARVI4,Arctostaphylos viscida,SOAP1563,297710.6,4101224,38,center,8.8,84.1,33,22,0,0,2,2,1.2,0,sphere 35dead,1121,,NA,NA,NA,NA,NA,0,0
